date,amount_spent,impressions,reach,frequency,link_clicks,ctr,cpc,thruplays
2026-06-01,51.86,9982,6233,1.6,172,1.72,0.3,1094
2026-06-02,30.29,5358,3482,1.54,74,1.38,0.41,630
2026-06-03,25.99,4978,2931,1.7,109,2.19,0.24,840
2026-06-04,25.98,4465,2963,1.51,61,1.36,0.43,493
2026-06-05,50.19,9463,5965,1.59,193,2.04,0.26,1557
2026-06-06,29.33,4834,3012,1.6,78,1.61,0.38,664
2026-06-07,44.41,8600,6168,1.39,105,1.22,0.42,1137
2026-06-08,33.5,6803,4029,1.69,90,1.33,0.37,924
2026-06-09,35.81,6228,3689,1.69,138,2.21,0.26,843
2026-06-10,48.12,9023,5040,1.79,208,2.3,0.23,1505
2026-06-11,51.13,10549,7323,1.44,137,1.3,0.37,1464
2026-06-12,29.98,5397,3022,1.79,84,1.55,0.36,965
2026-06-13,31.43,6260,3927,1.59,101,1.61,0.31,1105
2026-06-14,51.87,9740,6546,1.49,126,1.29,0.41,1205
2026-06-15,51.12,9659,6202,1.56,193,2.0,0.26,1010
2026-06-16,40.36,7472,5192,1.44,96,1.29,0.42,1321
2026-06-17,26.24,4442,2892,1.54,85,1.91,0.31,527
2026-06-18,27.36,5595,3311,1.69,101,1.81,0.27,836
2026-06-19,35.74,6761,4319,1.57,150,2.22,0.24,786
2026-06-20,44.05,7573,4674,1.62,145,1.91,0.3,939
2026-06-21,32.85,6490,3649,1.78,107,1.65,0.31,1167
2026-06-22,51.89,8492,4978,1.71,121,1.42,0.43,1483
2026-06-23,48.66,9924,6081,1.63,128,1.29,0.38,1654
2026-06-24,43.7,8328,5978,1.39,157,1.88,0.28,838
2026-06-25,46.88,8202,5436,1.51,183,2.23,0.26,908
2026-06-26,27.23,4502,2899,1.55,64,1.43,0.43,668
2026-06-27,44.09,7503,4935,1.52,107,1.42,0.41,1043
2026-06-28,49.35,9983,5647,1.77,161,1.61,0.31,1219
2026-06-29,24.1,4785,3150,1.52,67,1.41,0.36,762
2026-06-30,39.45,7155,3947,1.81,85,1.19,0.46,1220
