date,amount_spent,impressions,reach,frequency,link_clicks,ctr,cpc,thruplays
2026-06-01,59.74,9633,5748,1.68,153,1.59,0.39,1530
2026-06-02,61.01,12483,7050,1.77,231,1.85,0.26,1278
2026-06-03,45.43,8416,4666,1.8,131,1.56,0.35,1279
2026-06-04,56.53,9667,6285,1.54,227,2.35,0.25,971
2026-06-05,65.4,12746,7747,1.65,191,1.5,0.34,2250
2026-06-06,49.44,8139,4610,1.77,195,2.4,0.25,1206
2026-06-07,65.44,12858,8244,1.56,330,2.57,0.2,1675
2026-06-08,56.77,11437,7492,1.53,277,2.42,0.2,1671
2026-06-09,61.96,10055,5919,1.7,169,1.68,0.37,1069
2026-06-10,45.91,7577,4525,1.67,161,2.13,0.29,978
2026-06-11,50.59,8624,5134,1.68,217,2.52,0.23,1309
2026-06-12,58.71,9895,6668,1.48,149,1.51,0.39,1289
2026-06-13,71.64,13754,8866,1.55,301,2.19,0.24,2302
2026-06-14,64.38,11038,6131,1.8,189,1.71,0.34,1340
2026-06-15,45.17,9356,6539,1.43,160,1.71,0.28,1426
2026-06-16,51.45,10584,6646,1.59,174,1.64,0.3,1267
2026-06-17,57.09,9884,6418,1.54,244,2.47,0.23,1304
2026-06-18,45.46,9541,6073,1.57,135,1.42,0.34,990
2026-06-19,41.73,7985,5466,1.46,148,1.85,0.28,839
2026-06-20,50.98,10695,6844,1.56,274,2.56,0.19,1805
2026-06-21,38.39,7525,5010,1.5,150,2.0,0.26,913
2026-06-22,59.79,9899,6176,1.6,187,1.89,0.32,1745
2026-06-23,67.78,11737,7454,1.57,180,1.53,0.38,2030
2026-06-24,67.6,11824,7787,1.52,247,2.09,0.27,1326
2026-06-25,63.93,11952,8155,1.47,238,1.99,0.27,1195
2026-06-26,49.02,7890,5585,1.41,193,2.44,0.25,1313
2026-06-27,48.46,7893,5519,1.43,200,2.53,0.24,843
2026-06-28,54.52,8911,6053,1.47,205,2.3,0.27,982
2026-06-29,54.16,10154,6042,1.68,247,2.43,0.22,1359
2026-06-30,45.2,8450,5696,1.48,132,1.56,0.34,1055
